stock_code,trade_date,main_net_inflow,sm_net_inflow,mid_net_inflow,lg_net_inflow,max_net_inflow
000001,2026-05-27,-88366795.0,-20003878.0,108370684.0,-72135305.0,-16231490.0
000001,2026-05-28,-138893021.0,43545593.0,95347431.0,-39685060.0,-99207961.0
000001,2026-05-29,122263680.0,-62028272.0,-60235424.0,23188496.0,99075184.0
000001,2026-06-01,112414454.0,-75755584.0,-36658864.0,53330786.0,59083668.0
000001,2026-06-02,-3720814.0,-37522588.0,41243408.0,-344913.0,-3375901.0
000001,2026-06-03,36712563.0,-9584328.0,-27128235.0,16950241.0,19762322.0
000001,2026-06-04,-175795472.0,90361075.0,85434396.0,-1652194.0,-174143278.0
000001,2026-06-05,33017043.0,16461555.0,-49478615.0,129211888.0,-96194845.0
000001,2026-06-08,32116003.0,3207888.0,-35323904.0,141697264.0,-109581261.0
000001,2026-06-09,112053955.0,-38457223.0,-73596720.0,53108400.0,58945555.0
000001,2026-06-10,103242400.0,-15430608.0,-87811808.0,-23489696.0,126732096.0
000001,2026-06-11,-113897871.0,149155951.0,-35258080.0,-46949200.0,-66948671.0
000001,2026-06-12,-26388144.0,37004192.0,-10616064.0,62439024.0,-88827168.0
000001,2026-06-15,48059024.0,-49317824.0,1258784.0,-55738464.0,103797488.0
000001,2026-06-16,-83300785.0,61361232.0,21939552.0,-60498489.0,-22802296.0
000001,2026-06-17,-84729189.0,25672128.0,59057056.0,-24413126.0,-60316063.0
000001,2026-06-18,-134519307.0,94267456.0,40251856.0,-23496576.0,-111022731.0
000001,2026-06-22,-48371264.0,7199856.0,41171408.0,24157280.0,-72528544.0
000001,2026-06-23,22798279.0,-43981968.0,21183696.0,29046480.0,-6248201.0
000001,2026-06-24,-69356459.0,-26777040.0,96133520.0,-33713320.0,-35643139.0
000001,2026-06-25,-13143459.0,-30066896.0,43210352.0,3409200.0,-16552659.0
